item,cuisine,cholesterol,ash,carotene,vit_a,vit_e,thiamin,riboflavin,niacin,vit_c,calcium,potassium,magnesium,iron,zinc,selenium,copper,manganese,iodine,mono,poly,health_star,calories
Bracken with Preserved Pork Shreds,Hunan cuisine,0.0,0.9199999999999999,180.0,285.8,3.135216666666667,0.10563333333333334,1.01245,1.4433333333333334,9.333333333333334,115.38333333333333,110.27833333333332,35.43,1.8055,0.55695,4.596333333333333,0.12056666666666667,0.14456666666666665,4.32,2.1229999999999998,1.9961666666666664,4,322.00111499999997
Braised Shark's Fin with Ham,Zhejiang cuisine,33.8875,0.910625,0.0,36.0125,1.173875,0.436,0.9839375,4.65125,2.525,379.14375,241.86,14.39125,2.168,0.82175,4.1375,0.04905,0.0449375,2.39,0.6125,0.5665,2,572.32164875
Sichuan Pepper Dragon and Phoenix Balls,Hunan cuisine,245.16666666666666,2.9333333333333336,0.0,22.563333333333333,7.342133333333333,0.1678666666666667,0.22696666666666665,15.224333333333334,0.2333333333333333,65.03666666666668,418.43333333333334,80.38666666666667,1.1143333333333334,2.219633333333334,30.686666666666667,0.0107,0.0334,27.816666666666666,1.2833333333333334,0.9129999999999999,2,221.60159666666667
Soft-Fried Pork Kidney,Shandong cuisine,613.3333333333334,1.5999999999999999,0.0,243.94833333333335,5.50335,0.5448000000000001,5.4268833333333335,10.890133333333333,14.666666666666666,42.955000000000005,461.076,32.52766666666667,9.638633333333333,3.6793,256.78000000000003,0.04598,0.07315,29.72066666666667,7.433333333333334,5.06,2,407.6925733333333
Yellow Wine Braised Fat Chicken,Cantonese cuisine,187.07999999999998,3.17116,61.976,81.9,0.060899999999999996,0.15012,0.192384,10.27196,1.5304,48.7868,518.8552,58.0172,3.1135200000000003,2.53264,21.385839999999998,0.164664,0.40256400000000003,0.255,3.941213532004743,3.0642218916763118,2,399.111836
Colorful Crispy Walnut,Fujian cuisine,42.083333333333336,0.04,0.0,11.515,0.96265,0.08059999999999999,0.03248333333333333,0.8969999999999999,2.6,262.48499999999996,343.1583333333333,38.218333333333334,2.9563333333333333,0.6987333333333333,14.176666666666668,0.3366,0.38694999999999996,33.333333333333336,1.3816666666666666,1.4956666666666667,2,425.9681066666667
Fish Slices with Minced Ginger,Fujian cuisine,83.18333333333334,0.029666666666666664,0.0,18.233333333333334,2.343316666666666,0.045066666666666665,0.15363333333333332,3.1167666666666665,2.15,40.824999999999996,203.655,35.42166666666667,1.1388333333333334,0.8841166666666668,6.493666666666667,0.050583333333333334,0.058633333333333336,8.035,0.20100000000000004,1.1159999999999999,4,141.682785
Leek Flower with Pork Stomach Tips,Hunan cuisine,246.39999999999998,0.0,0.0,713.1466666666666,3.07995,0.19173333333333334,0.5498666666666666,5.447166666666667,73.66666666666667,171.28166666666667,206.14666666666668,35.263333333333335,7.455666666666667,2.7323,14.390333333333336,0.12215000000000004,0.14841666666666667,11.623333333333333,2.2920000000000003,1.4003333333333339,2,236.79681833333333
Charcoal Grilled Qiantang Grouper,Zhejiang cuisine,77.33333333333333,1.8696666666666666,40.515,177.41666666666666,1.3333333333333333,0.32746666666666663,0.342,5.367333333333334,34.81666666666667,95.565,252.92333333333332,44.70666666666667,5.628166666666666,0.6972666666666667,32.01,0.00545,0.060450000000000004,26.886666666666667,0.6666666666666666,0.7999999999999999,4,153.11694333333332
Chicken Tofu Pudding,Sichuan cuisine,76.16666666666667,2.1641666666666666,67.3,517.4333333333333,3.5,88.05948333333333,0.6531,15.216500000000002,3.08,305.1033333333333,300.5833333333333,190.99833333333333,8.751166666666666,4.2862,8.095,0.0728,0.05656666666666666,75.0,2.670089198288048,2.0759458242195143,2,1864.2462066666667
